track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
0r3QJbwBuR9UL0ai5qDTw7,133779,78,0.476,0.0157,0.834,3.4e-05,0.263,-9.343,0.0951,186.844,4,1
0IUprcNjE2hDtlvY8rq2W9,144616,81,0.332,0.00696,0.737,0.0,0.0519,-8.572,0.0349,183.333,4,1
2Q1s11otlyEtj80OgsqDFz,255600,73,0.726,0.724,0.371,0.00299,0.132,-14.008,0.0623,160.24,4,1
4vLBnQtece15fFhqWxZvJP,239667,80,0.546,0.382,0.453,3.9e-05,0.106,-13.04,0.121,104.532,4,1
4Agtk2MrapdZAVN7v6PuFO,133661,78,0.459,0.316,0.581,0.0,0.124,-6.575,0.0713,176.195,4,1
44wBlg3Y1KSAEmaze5BXe7,239307,74,0.708,0.831,0.434,0.019,0.105,-12.522,0.0681,80.045,4,1
3IxMaULfjq4IT2IN6v54PB,174936,81,0.636,0.195,0.749,0.0,0.107,-4.197,0.0631,117.904,4,1
7JDa53N0bUwBho5Xt0encA,240454,67,0.38,0.622,0.486,0.589,0.111,-15.4,0.0374,166.115,4,1
7tOcPDj3vyopZ404pY6UuP,227026,48,0.664,0.0528,0.717,0.000348,0.138,-5.699,0.0391,124.989,4,1
463r5bsN1VqGXtaMctn4Rr,174394,71,0.564,0.114,0.647,0.0,0.17,-6.759,0.0407,95.923,4,1
0zePbRMJ9sd7wsZRlbPQua,204014,74,0.707,0.0279,0.767,0.000295,0.169,-7.072,0.0323,139.985,4,1
0HaNrvszmWl5vIwKuADD5Z,202927,74,0.395,0.000408,0.87,0.0617,0.267,-9.437,0.05,150.028,4,1
6HTVZeVQ9J6Uiq6tHESxU9,287634,69,0.587,0.723,0.497,0.782,0.142,-10.757,0.0307,144.972,3,1
0QUgSlWpeW7VCkLmrc58RU,198112,71,0.573,0.91,0.21,0.0537,0.102,-18.13,0.0605,107.479,3,1
1TAC5SANfK7l6wGHtUQ7MX,229804,58,0.767,0.592,0.938,0.0193,0.118,-4.433,0.0505,123.992,4,1
57RA3JGafJm5zRtKJiKPIm,178000,83,0.682,0.156,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4,1
05vOO3lOjpYGTj0W7W4RtU,243949,65,0.55,0.948,0.132,0.722,0.282,-29.982,0.0544,120.989,4,1
5BNAzE37hmpyCx0hyrgDqJ,152072,68,0.504,0.925,0.278,0.108,0.129,-16.502,0.0772,83.729,4,1
0tPAksKbZTl8VLslZErQnE,147683,68,0.617,0.956,0.135,0.000304,0.0951,-22.104,0.0555,88.461,3,1
1BoIsD3EzJHnfZkedCznNr,71026,58,0.721,0.108,0.789,0.0742,0.25,-7.344,0.0696,113.392,5,1
0F3kMN9OPXr0b5metJq2M1,186309,73,0.412,0.967,0.254,0.00408,0.105,-14.713,0.0481,149.899,4,1
0KKkJNfGyhkQ5aFogxQAPU,206693,83,0.853,0.013,0.56,0.0,0.0944,-4.961,0.0406,134.066,4,1
2RzlTcvW7Um8GiTTNWhxcr,554889,52,0.423,0.00605,0.748,0.835,0.0754,-9.982,0.0807,104.054,3,1
4kdjHU5lzooUP7kkzQqX0Q,256990,56,0.756,0.031,0.739,0.776,0.0811,-6.794,0.0358,124.973,4,1
3hhgjzEyu7gTU6cOmnEmGW,230400,64,0.392,0.596,0.0272,0.701,0.228,-29.772,0.105,205.413,4,1
1pNUmVxDiE8t6P1XxcZAv8,166520,72,0.639,0.000985,0.816,0.0604,0.141,-5.28,0.0485,138.008,4,1
4UG8Logkq92VZuoHcqk0HO,226858,38,0.381,0.00243,0.688,0.00319,0.119,-6.339,0.0444,78.076,4,1
64lsIF5pw0sJY0gV5kz0RN,278769,80,0.641,0.132,0.842,0.91,0.419,-7.27,0.0292,129.98,4,1
05k3Cp3lddjoH3ZEKwn5s3,224482,45,0.452,0.000134,0.847,0.125,0.303,-8.064,0.0405,173.918,4,1
1Ta5qcEWkJxlGLBbZZhas1,201840,37,0.762,0.0911,0.941,0.16,0.0599,-4.282,0.0494,123.955,4,1
6ShHxD0hoJSXajmcpQ5Ri8,246536,77,0.468,0.00574,0.721,0.0,0.111,-9.175,0.0343,145.989,4,1
59P8WuC9TvhpIMIrg9x1Pw,178128,28,0.479,0.0274,0.661,0.0,0.112,-8.35,0.369,168.133,4,1
6GyFP1nfCDB8lbD2bG0Hq9,243960,76,0.507,0.0182,0.729,1.4e-06,0.0658,-5.399,0.0393,105.013,4,1
11zf7m4vw9Ze7cer9Nyhk1,187895,71,0.497,0.126,0.914,1.98e-05,0.274,-4.308,0.0455,148.893,4,1
33datjnH65fWAuMHlt9rr7,243320,52,0.46,0.994,0.428,0.894,0.134,-13.343,0.0487,104.71,4,1
475bzi2tQdQFa5rUmHfoEM,405551,5,0.454,0.000298,0.882,0.776,0.281,-4.926,0.0494,173.994,4,1
7Eta1k8UzwooyJCB9stY1d,212596,60,0.554,0.000867,0.848,0.0298,0.42,-4.857,0.0815,89.999,4,1
48Y0fDYJ9VJecyW75FsCCh,190554,52,0.772,0.314,0.817,0.00338,0.0761,-4.688,0.265,104.04,4,1
3HEvzEwP0Jg0hEszE6P8x4,307720,37,0.618,0.0137,0.936,0.399,0.084,-5.2,0.0424,124.972,4,1
5PVPkjFKLElXpshtXtXIFc,120000,59,0.604,0.00622,0.937,0.000365,0.325,-4.022,0.0817,120.082,4,1
0UeYCHOETPfai02uskjJ3x,235813,70,0.636,0.0893,0.72,0.0178,0.0868,-6.195,0.0432,124.944,4,1
2WYs5LxOZfEyURXu7V0O1a,141505,73,0.684,0.302,0.844,0.0,0.374,-7.649,0.335,126.677,5,1
2bvbLvGD7YnS4Nhf9E4hUl,108451,54,0.614,0.000349,0.685,0.966,0.111,-9.822,0.0451,119.442,3,1
2rUHJ1o9qj44fR0vTugDAx,157297,62,0.695,0.0046,0.732,0.856,0.617,-4.104,0.218,169.889,4,1
2zkSDE5xKRuNnj0h1qFmYT,210279,31,0.568,0.078,0.759,0.0,0.35,-6.248,0.133,180.987,4,1
4FQhyNbmwSKX4S2DiDOt5k,93701,57,0.726,0.218,0.415,0.386,0.107,-11.693,0.167,81.976,4,1
4pUCPPY3BImBawPkAWtNhj,243386,40,0.71,0.656,0.688,1.62e-06,0.0972,-6.622,0.0305,136.032,4,1
6IdIVjoQm9KCjeQElOVQ7K,155364,59,0.717,0.00401,0.846,0.0913,0.05,-3.182,0.0329,136.961,4,1
6oPgMKfRAxf8sLOYnIw26v,284487,41,0.76,0.0685,0.67,0.00181,0.0992,-5.16,0.112,86.835,4,1
7gHkDNieGzYmyuC7E1Xbxw,191493,47,0.802,0.482,0.951,0.00305,0.319,-3.933,0.189,106.019,4,1
